feature,importance
txn_amount_24h,58225010.75672326
amt_zscore,26822752.777306348
amt_hist_mean,4340033.557706773
hour,4224028.913367577
txn_count_24h,4066350.0271903276
category_freq,3938534.6989826113
category_target_enc,2584883.512795761
amt,2294612.151006028
time_since_prev_h,1113112.443623513
age,602937.6574785635
amt_hist_std,475344.06586015224
merchant_target_enc,470429.55047111213
txn_amount_1h,373887.551519081
merchant_freq,255589.27893209457
city_pop,254753.25285854936
speed_kmh,139583.03994949162
dist_from_prev_km,96057.14437761158
day_of_week,54134.76745247841
gender,48899.957695394754
is_night,35443.22817212343
txn_count_1h,10043.908967152238
